7;0;0
2;0;0
0;0;0
0;1;0
1;0;0
2;1;0
3;0;0
6;1;0
7;1;0
8;1;0
7;3;0
15;4;0
18;10;0
22;17;0
27;12;0
39;19;1
46;41;0
51;50;3
75;66;1
123;97;2
200;135;1
230;209;7
332;290;8
474;466;6
710;678;7
1049;967;14
1482;1419;16
2184;2259;21
3209;3494;36
4331;4637;48
5167;5793;46
5721;6403;91
5710;5840;124
5432;5191;155
4961;4516;233
4723;3945;306
4449;3522;391
4224;2934;632
4193;2814;785
4190;2532;983
3941;2399;1369
3923;2258;1473
3830;2072;1616
3640;1841;1811
3497;1892;1960
3397;1872;2214
3246;1913;2474
3081;1849;2675
3128;2012;3038
2967;2071;3409
3039;2154;3431
2946;2268;3293
2923;2180;3194
2831;2254;2686
2902;2141;2367
2807;2170;2068
2795;2127;1792
2800;1945;1627
2969;1963;1538
3107;1866;1329
3010;1961;1229
3031;1762;1189
3243;1783;1093
3167;1846;1081
3243;1850;1040
3286;1843;1065
3282;1847;899
3193;1783;938
2989;1796;961
2939;1924;891
2840;1941;952
2894;1980;911
2861;1981;911
2856;1978;937
2957;1956;949
3015;1937;889
3109;1896;967
3155;1878;827
3147;1864;872
3237;1870;831
3028;1926;798
2884;1929;826
2769;1931;769
2424;2052;753
2226;2190;815
1882;2287;810
1696;2336;751
1563;2536;743
1366;2728;745
1185;2761;813
1183;2913;709
1100;2972;777
994;2880;779
997;2786;767
926;2601;721
914;2512;792
872;2414;791
834;2453;804
858;2622;843
797;2586;868
775;2581;905
761;2522;912
760;2474;878
741;2367;925
704;2066;900
720;1916;953
679;1680;991
699;1587;1042
685;1476;1120
668;1363;1101
639;1357;1108
660;1294;1145
674;1237;1082
664;1209;1168
691;1178;1196
707;1135;1085
640;1156;1122
670;1080;1072
623;1098;1075
628;1032;1076
720;1006;1048
681;936;1118
663;862;1038
697;825;1079
678;734;1077
691;699;1083
697;624;1062
691;617;1089
690;608;1135
700;623;1107
670;632;1088
665;560;1154
649;610;1216
662;596;1208
620;579;1212
642;545;1250
628;573;1184
612;563;1291
635;543;1286
634;533;1351
571;613;1364
548;574;1359
573;594;1417
554;590;1396
558;629;1406
504;630;1497
533;648;1495
525;678;1505
473;696;1589
480;731;1594
531;780;1608
498;777;1625
531;762;1576
449;757;1651
452;710;1647
412;683;1755
451;693;1672
443;654;1711
456;676;1690
414;718;1767
425;693;1786
388;688;1885
420;736;1879
394;647;2052
383;700;2054
349;666;2087
289;632;2096
281;612;2107
249;633;2186
233;652;2231
198;695;2131
167;715;2027
192;683;2003
152;713;1866
146;637;1767
140;649;1779
98;683;1792
102;578;1855
109;575;1738
79;440;1729
89;450;1779
77;377;1674
61;381;1756
78;297;1759
63;261;1735
61;222;1709
46;226;1638
56;180;1535
41;146;1492
54;141;1405
36;125;1326
48;108;1386
29;102;1419
35;97;1352
35;87;1380
35;89;1347
32;69;1354
33;57;1406
30;50;1358
22;43;1322
19;42;1346
13;31;1335
25;25;1310
19;17;1287
11;10;1180
13;21;1095
5;20;1012
9;11;944
9;9;957
5;10;872
1;7;839
6;3;816
5;3;751
2;3;710
5;4;705
3;0;669
6;3;648
2;1;567
2;2;547
0;2;576
3;1;531
0;1;563
0;1;583
1;1;612
1;0;590
0;0;578
0;0;570
0;1;673
0;2;610
1;0;657
0;0;572
0;0;602
0;0;650
0;0;695
0;0;690
0;0;674
0;0;661
0;0;675
0;3;559
0;0;509
1;0;414
0;0;406
0;0;295
0;0;290
0;0;245
0;0;214
0;0;156
0;0;155
0;0;118
0;0;112
0;0;95
0;0;81
0;0;80
0;0;57
0;0;41
2;0;140
